bairro_id,preco_total,area,quartos,banheiros,vagas
26,850,32,0,1,0
20,1450,41,2,1,1
80,1395,140,2,1,1
70,4718,94,2,2,0
62,1000,65,2,1,1
124,3150,75,2,2,0
83,1300,60,1,1,1
7,1500,37,0,1,1
62,1300,53,2,1,0
15,1660,60,2,1,1
60,1600,58,2,1,1
119,2145,47,2,1,1
35,2644,65,3,2,1
74,2738,60,1,1,0
103,1090,55,3,1,0
124,1200,24,1,1,1
122,1620,60,1,1,1
83,3100,60,2,2,1
20,1347,57,3,1,1
43,1370,60,2,1,1
26,731,26,0,1,0
122,1300,75,2,1,0
74,4265,76,2,2,1
26,21430,397,0,5,0
20,1100,66,2,1,1
7,4099,65,2,3,1
20,1290,43,2,1,1
40,1900,57,2,1,1
26,1270,35,0,1,0
124,2350,90,2,1,1
76,1370,50,2,1,1
80,1256,84,2,1,0
84,1055,54,2,1,1
62,5200,83,2,3,1
44,1640,49,1,1,1
20,1022,44,2,1,1
60,2329,70,2,1,1
58,850,55,2,2,1
134,3770,90,2,2,1
2,2440,70,2,1,0
20,2008,120,3,1,1
60,1298,54,2,1,1
11,1930,80,2,1,1
26,1548,59,0,1,0
111,1684,55,2,1,1
102,7000,137,3,3,3
12,3755,60,2,2,1
78,8050,445,0,2,0
55,3530,60,1,2,1
7,1615,30,0,1,1
122,1590,48,2,1,1
122,1466,70,2,1,1
89,1800,80,2,1,1
83,3200,90,3,2,2
73,84782,326,0,10,4
122,1620,72,3,2,1
26,882,25,0,1,0
26,880,24,0,1,0
119,3702,73,0,2,0
102,1570,36,0,1,1
89,1425,49,2,1,1
7,4006,80,2,1,1
44,1336,27,0,0,1
26,1660,95,0,2,0
42,3780,80,2,2,0
85,1010,47,2,1,0
47,3605,117,4,2,0
34,2100,55,0,1,1
40,1854,55,2,1,1
38,1150,50,2,1,1
60,2730,65,3,2,1
85,1250,67,2,1,1
21,1124,45,2,1,1
57,1145,50,2,1,1
20,3210,380,4,4,3
12,4890,70,2,2,1
91,5189,380,0,2,0
134,2273,80,3,3,1
26,14857,1131,0,5,0
26,916,32,0,1,0
7,1565,30,0,1,1
2,1220,36,1,1,0
3,1900,44,2,1,1
83,1700,63,2,2,1
20,1200,60,2,1,1
60,1200,40,2,2,0
26,1155,36,1,1,0
30,4447,100,3,3,1
54,970,45,2,1,1
93,1210,50,2,1,1
20,1098,58,2,1,1
