preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 2.869 /mês,R$ 728,"Avenida Alfredo Balthazar da Silveira, Recreio Dos Bandeirantes",100 m²,3,2,3
R$ 1.600 /mês,0,"Rua Mandina, Taquara",100 m²,2,0,1
R$ 1.000 /mês,R$ 190,"Rua Figueiredo Pimentel, Piedade",70 m²,2,2,2
R$ 1.000 /mês,R$ 150,"Rua Diomedes Trota, Ramos",59 m²,2,0,1
R$ 1.000 /mês,R$ 455,"Rua André Rocha, Taquara",50 m²,2,1,1
R$ 900 /mês,R$ 405,"Rua Haddock Lobo, Tijuca",27 m²,0,1,1
R$ 1.800 /mês,R$ 650,"Rua Conde de Bonfim, Tijuca",95 m²,3,1,1
R$ 1.350 /mês,R$ 730,"Estrada de Jacarepaguá, Freguesia- Jacarepaguá",67 m²,2,1,1
R$ 2.200 /mês,R$ 10,"Rua Ajurana, Campo Grande",95 m²,2,2,3
R$ 3.500 /mês,R$ 1.000,"Avenida Ministro Ary Franco, Bangu",280 m²,2,1,2
R$ 3.800 /mês,R$ 1.967,"Avenida General Olyntho Pillar, Barra da Tijuca",129 m²,3,2,2
R$ 650 /mês,R$ 300,"Rua Padre André Moreira, Méier",50 m²,1,1,1
R$ 3.000 /mês,R$ 1.038,"Rua J. Carlos, Jardim Botânico",75 m²,2,1,2
R$ 1.250 /mês,R$ 485,"Rua Monte Santo, Irajá",50 m²,2,1,1
R$ 2.800 /mês,R$ 740,"Rua Breno Guimarães, Jardim Guanabara",109 m²,3,2,3
R$ 1.300 /mês,R$ 320,"Avenida Braz de Pina, Vista Alegre",70 m²,2,1,2
R$ 2.200 /mês,R$ 481,"Rua Jaime Ovale, Jardim Guanabara",125 m²,3,2,3
R$ 1.000 /mês,R$ 750,"Rua Manuela Barbosa, Méier",27 m²,0,0,1
R$ 10.500 /mês,R$ 2.300,"Rua Souza Lima, Copacabana",220 m²,4,2,1
R$ 13.500 /mês,R$ 667,"Rua São João Batista, Botafogo",184 m²,0,0,2
R$ 1.300 /mês,R$ 550,"Rua C, Méier",78 m²,2,1,3
R$ 1.660 /mês,R$ 100,"Rua Elisa de Albuquerque, Méier",70 m²,2,1,2
R$ 1.000 /mês,R$ 620,"Rua Castro Alves, Méier",65 m²,2,1,2
R$ 1.100 /mês,R$ 418,"Avenida Tenente-Coronel Muniz de Aragão, Anil",46 m²,2,1,1
R$ 2.200 /mês,R$ 1.056,"Rua Sá Ferreira, Copacabana",78 m²,2,1,2
R$ 800 /mês,R$ 350,"Estrada do Tindiba, Taquara",25 m²,0,1,1
R$ 700 /mês,R$ 360,"Estrada Professor Daltro Santos, Campo Grande",49 m²,2,1,2
R$ 800 /mês,0,"Rua Murilo Alvarenga, Campo Grande",50 m²,2,1,1
