preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 2.000 /mês,R$ 815,"Rua Haddock Lobo, Tijuca",105 m²,3,0,3
R$ 1.030 /mês,R$ 801,"Avenida Marechal Rondon, Engenho Novo",68 m²,2,1,1
R$ 4.080 /mês,R$ 209,"Rua Jaboatão, Campo Grande",310 m²,4,2,4
R$ 2.230 /mês,R$ 817,"Rua Marques, Humaitá",65 m²,2,0,1
R$ 1.000 /mês,R$ 799,"Copacabana, Rio de Janeiro",32 m²,0,0,1
R$ 1.300 /mês,R$ 500,"Rua Voluntários da Pátria, Botafogo",30 m²,1,0,1
R$ 1.000 /mês,R$ 250,"Rua Tavares Ferreira, Engenho Novo",100 m²,1,0,1
R$ 6.000 /mês,R$ 710,"Avenida José Silva de Azevedo Neto, Barra da Tijuca",72 m²,0,1,0
R$ 950 /mês,R$ 300,"Travessa José Bonifácio, Todos os Santos",56 m²,2,0,1
R$ 1.400 /mês,R$ 1.087,"Rua Carlos de Vasconcelos, Tijuca",90 m²,2,1,1
R$ 800 /mês,R$ 500,"Rua Doutor Bernardino, Praça Seca",70 m²,1,1,1
R$ 820 /mês,R$ 200,"Rua R, Cascadura",70 m²,2,0,1
R$ 1.100 /mês,R$ 1.013,"Rua Conde de Bonfim, Tijuca",82 m²,2,1,1
R$ 400 /mês,R$ 560,"Centro, Rio de Janeiro",30 m²,0,0,1
R$ 500 /mês,R$ 507,"Praça Olavo Bilac, Centro",25 m²,0,0,1
R$ 297 /mês,R$ 640,"Avenida Rio Branco, Centro",31 m²,0,0,1
R$ 600 /mês,R$ 406,"Rua Lima Barros, São Cristóvão",45 m²,1,0,1
R$ 800 /mês,R$ 40,"Estrada dos Bandeirantes, Curicica",50 m²,1,0,1
R$ 3.000 /mês,R$ 139,"Rua Pontes Correia, Vila Isabel",220 m²,3,0,2
R$ 750 /mês,R$ 417,"Rua Maria José, Oswaldo Cruz",45 m²,1,0,1
R$ 700 /mês,R$ 548,"Freguesia- Jacarepaguá, Rio de Janeiro",24 m²,0,0,1
R$ 1.615 /mês,R$ 450,"Rua Joaquim Murtinho, Santa Teresa",60 m²,2,0,1
R$ 550 /mês,R$ 336,"Rua São José, Centro",23 m²,0,0,1
R$ 1.500 /mês,R$ 610,"Praça da República, Centro",50 m²,2,0,1
R$ 1.385 /mês,R$ 627,"Rua Zamenhof, Estacio",55 m²,2,0,2
R$ 1.150 /mês,0,"Rua Caiabu, Irajá",70 m²,2,0,1
R$ 500 /mês,R$ 450,"Rua Buenos Aires, Centro",30 m²,0,0,1
R$ 3.250 /mês,R$ 945,"Rua São Francisco Xavier, Tijuca",150 m²,2,1,2
R$ 7.500 /mês,R$ 1.745,"Rua Jacarandás da Península, Barra da Tijuca",120 m²,2,2,3
R$ 550 /mês,R$ 240,"Estrada do Mendanha, Campo Grande",43 m²,2,0,1
R$ 3.100 /mês,R$ 1.024,"Copacabana, Rio de Janeiro",70 m²,3,0,3
R$ 800 /mês,R$ 360,"Avenida Franklin Roosevelt, Centro",35 m²,0,0,1
R$ 1.300 /mês,R$ 180,"Andaraí, Rio de Janeiro",60 m²,0,0,0
R$ 1.390 /mês,R$ 400,"Rua Maria Amália, Tijuca",63 m²,2,0,1
R$ 1.100 /mês,R$ 674,"Avenida Geremário Dantas, Tanque",60 m²,1,1,2
R$ 1.510 /mês,R$ 487,"Rua Silveira Martins, Catete",42 m²,1,0,1
R$ 500 /mês,R$ 706,"Rua Capitão Félix, Benfica",36 m²,0,0,1
R$ 900 /mês,R$ 450,"Estrada dos Três Rios, Freguesia- Jacarepaguá",25 m²,0,1,1
R$ 3.500 /mês,R$ 380,"Rua Caviana, Taquara",111 m²,1,2,2
R$ 1.200 /mês,R$ 567,"Rua Barão de Itapagipe, Tijuca",56 m²,2,0,1
R$ 600 /mês,R$ 581,"Rua Sete de Setembro, Centro",32 m²,0,0,1
R$ 798 /mês,R$ 300,"Rua Marechal Bittencourt, Engenho Novo",50 m²,1,0,1
R$ 2.000 /mês,R$ 280,"Rua Professor Lafaiete Cortes, Tijuca",80 m²,2,0,2
R$ 850 /mês,R$ 665,"Rua Cândido Benício, Praça Seca",80 m²,2,1,2
R$ 3.500 /mês,R$ 145,"Penha, Rio de Janeiro",256 m²,0,1,5
R$ 1.500 /mês,R$ 783,"Méier, Rio de Janeiro",42 m²,0,0,1
R$ 550 /mês,R$ 515,"Centro, Rio de Janeiro",25 m²,0,0,1
R$ 1.600 /mês,R$ 600,"Rua Pedro Américo, Glória",57 m²,2,0,2
R$ 885 /mês,R$ 450,"Rua Visconde de Santa Isabel, Vila Isabel",50 m²,2,0,1
R$ 3.000 /mês,R$ 1.385,"Avenida das Américas, Barra da Tijuca",53 m²,1,1,1
R$ 1.500 /mês,R$ 564,"Rua General Argolo, São Cristóvão",60 m²,2,0,1
R$ 770 /mês,0,"Rua Cari Levi, Irajá",45 m²,1,1,1
R$ 900 /mês,R$ 600,"Rua Conde de Bonfim, Tijuca",58 m²,2,0,2
R$ 1.070 /mês,R$ 490,"Rua A, Freguesia",70 m²,2,0,2
R$ 700 /mês,0,"Avenida Ayrton Senna, Barra da Tijuca",27 m²,0,0,1
R$ 800 /mês,R$ 70,"Rua Alberto Mendes Júnior, Cascadura",58 m²,3,0,1
R$ 1.400 /mês,R$ 440,"Travessa A, São Cristóvão",105 m²,2,0,1
R$ 4.500 /mês,R$ 1.373,"Rua A, Gávea",85 m²,3,1,2
R$ 900 /mês,R$ 526,"Recreio Dos Bandeirantes, Rio de Janeiro",35 m²,0,1,1
R$ 1.100 /mês,R$ 700,"Rua Hermínia, Méier",60 m²,2,1,1
R$ 3.000 /mês,R$ 850,"Rua Pinheiro Machado, Laranjeiras",110 m²,3,1,2
R$ 1.220 /mês,0,"Rua Jorge Coelho, Penha",56 m²,2,0,1
R$ 1.105 /mês,R$ 210,"Estrada do Tindiba, Pechincha",58 m²,2,0,1
R$ 850 /mês,R$ 510,"Rua Constante Ramos, Copacabana",26 m²,0,0,1
R$ 977 /mês,R$ 420,"Rua A, Bonsucesso",70 m²,2,0,1
R$ 1.390 /mês,R$ 190,"Travessa da Paz, Rio Comprido",56 m²,2,0,1
R$ 935 /mês,R$ 816,"Rua Comendador Pinto, Campinho",60 m²,2,1,1
R$ 800 /mês,R$ 647,"Avenida Rio Branco, Centro",34 m²,0,0,1
R$ 1.700 /mês,R$ 680,"Rua Itacoatiara, Irajá",100 m²,2,1,1
R$ 560 /mês,R$ 200,"Rua Carvalho de Souza, Cascadura",25 m²,1,1,1
R$ 200 /mês,R$ 420,"Avenida Marechal Floriano, Centro",30 m²,1,0,1
R$ 1.000 /mês,R$ 461,"Rua Santo Afonso, Tijuca",30 m²,0,0,1
R$ 1.600 /mês,R$ 260,"Rua Doutor Pache de Faria, Méier",80 m²,3,0,2
R$ 1.000 /mês,R$ 475,"Rua Silvia Pozzano, Recreio Dos Bandeirantes",30 m²,0,0,0
R$ 1.740 /mês,R$ 550,"Rua Humboldt, Bonsucesso",94 m²,4,1,1
R$ 1.600 /mês,R$ 670,"Rua Vilela Tavares, Méier",90 m²,3,1,1
R$ 900 /mês,R$ 620,"Rua Conde de Bonfim, Tijuca",29 m²,0,0,1
R$ 200 /mês,R$ 440,"Rua Nerval de Gouveia, Cascadura",70 m²,0,0,1
R$ 800 /mês,R$ 456,"Rua Campo, São Cristóvão",44 m²,1,0,1
R$ 870 /mês,R$ 700,"Rua Fábio Luz, Méier",64 m²,2,1,1
R$ 1.703 /mês,R$ 270,"Rua Antônio Basílio, Tijuca",54 m²,1,0,1
R$ 1.600 /mês,R$ 1.200,"Estrada dos Bandeirantes, Jacarepaguá",74 m²,2,1,2
R$ 722 /mês,R$ 300,"Rua A, Campo Grande",45 m²,2,0,1
R$ 1.200 /mês,R$ 422,"Rua Santa Cristina, Santa Teresa",35 m²,1,0,1
R$ 1.580 /mês,R$ 1.050,"Rua Doutor Pereira dos Santos, Tijuca",80 m²,2,1,2
R$ 1.000 /mês,R$ 712,"Avenida Rio Branco, Centro",44 m²,0,0,4
R$ 1.050 /mês,R$ 697,"Rua C, Méier",57 m²,2,1,1
R$ 1.200 /mês,R$ 431,"Avenida Ayrton Senna, Jacarepaguá",27 m²,0,1,1
R$ 1.100 /mês,R$ 663,"Avenida João Cabral de Mello Neto, Barra da Tijuca",36 m²,0,1,1
R$ 300 /mês,R$ 657,"Rua Acre, Centro",31 m²,0,0,0
R$ 1.500 /mês,R$ 300,"Rua Lópes Quintas, Jardim Botânico",30 m²,1,0,1
R$ 974 /mês,R$ 253,"Estrada do Mendanha, Campo Grande",42 m²,2,0,1
R$ 1.493 /mês,R$ 1.350,"Avenida das Américas, Barra da Tijuca",40 m²,0,1,1
R$ 2.150 /mês,R$ 800,"Rua Jornalista Ary Vasconcelos, Freguesia",75 m²,3,1,2
R$ 4.450 /mês,R$ 860,"Alameda A, Recreio Dos Bandeirantes",109 m²,3,2,1
R$ 900 /mês,R$ 909,"Rua Visconde de Asseca, Taquara",60 m²,1,1,2
R$ 782 /mês,R$ 390,"Rua Senador Dantas, Centro",32 m²,1,0,1
R$ 700 /mês,R$ 170,"Rua Torres de Oliveira, Piedade",60 m²,2,0,1
R$ 4.700 /mês,R$ 1.113,"Avenida Epitácio Pessoa, Lagoa",60 m²,2,1,1
R$ 1.900 /mês,R$ 997,"Rua Barão de Mesquita, Tijuca",75 m²,3,1,2
R$ 1.300 /mês,R$ 843,"Rua Teodoro da Silva, Vila Isabel",72 m²,2,1,1
R$ 800 /mês,R$ 275,"Rua Barão de Iguatemi, Praça da Bandeira",30 m²,1,0,1
R$ 2.000 /mês,R$ 55,"Caminho do Veloso, Campo Grande",35 m²,0,3,1
R$ 600 /mês,R$ 609,"Rua da Assembléia, Centro",31 m²,0,0,1
R$ 1.000 /mês,R$ 1.188,"Avenida Treze de Maio, Centro",63 m²,0,0,1
R$ 900 /mês,R$ 60,"Rua Rosário Fusco, Penha",58 m²,2,0,1
R$ 700 /mês,R$ 80,"Rua Alice Freitas, Irajá",100 m²,2,0,1
R$ 3.000 /mês,R$ 1.074,"Rua Bom Pastor, Tijuca",109 m²,3,2,2
R$ 1.300 /mês,R$ 408,"Méier, Rio de Janeiro",42 m²,0,0,1
R$ 500 /mês,R$ 250,"Estrada do Tingui, Campo Grande",50 m²,2,0,1
R$ 1.000 /mês,R$ 400,"Cavalcânti, Rio de Janeiro",60 m²,2,1,1
R$ 1.500 /mês,R$ 530,"Avenida Treze de Maio, Centro",42 m²,0,0,1
R$ 900 /mês,R$ 350,"Avenida das Américas, Recreio Dos Bandeirantes",25 m²,0,1,0
R$ 1.700 /mês,R$ 200,"Rua Coirana, Penha",84 m²,2,0,1
R$ 2.430 /mês,R$ 630,"Praça Vereador Rocha Leão, Copacabana",50 m²,2,0,1
R$ 631 /mês,R$ 160,"Rua Francisco Mota, Campo Grande",38 m²,2,1,1
R$ 4.700 /mês,R$ 1.330,"Rua Dezenove de Fevereiro, Botafogo",101 m²,3,1,1
R$ 4.700 /mês,R$ 550,"Rua Conde Bernadotte, Leblon",75 m²,2,0,3
R$ 6.000 /mês,0,"Rua Luís Barbosa, Vila Isabel",50 m²,0,0,1
R$ 1.000 /mês,R$ 510,"Avenida Geremário Dantas, Freguesia- Jacarepaguá",29 m²,0,0,1
R$ 800 /mês,R$ 420,"Escada Santa Clara, Copacabana",20 m²,0,0,1
R$ 1.500 /mês,R$ 450,"Rua Professor Euríco Rabelo, Maracanã",71 m²,2,0,1
R$ 7.500 /mês,R$ 1.250,"Rua Escritor Rodrigo Melo Franco, Jacarepaguá",160 m²,4,3,5
R$ 1.600 /mês,R$ 830,"Avenida Nossa Senhora de Copacabana, Copacabana",46 m²,1,0,2
R$ 1.100 /mês,R$ 665,"Rua Marquês de Jacarepaguá, Taquara",65 m²,2,0,1
R$ 1.070 /mês,R$ 677,"Rua A, Engenho Novo",75 m²,2,1,1
R$ 2.700 /mês,R$ 528,"Rua Andrade Pertence, Catete",70 m²,1,0,3
R$ 2.000 /mês,R$ 220,"Rua A, Méier",98 m²,3,1,2
R$ 700 /mês,R$ 423,"Rua da Alfândega, Centro",21 m²,0,0,1
R$ 600 /mês,R$ 600,"Rua A, Engenho Novo",60 m²,3,1,1
R$ 3.400 /mês,0,"Rua Joaquim Meier, Méier",70 m²,2,1,2
R$ 600 /mês,R$ 640,"Avenida Rio Branco, Centro",32 m²,0,0,1
R$ 900 /mês,R$ 350,"Travessa do Paço, Centro",42 m²,0,0,1
R$ 1.365 /mês,R$ 80,"Estrada Capenha, Pechincha",50 m²,2,0,1
R$ 700 /mês,R$ 255,"Rua Paim Pamplona, Sampaio",57 m²,2,0,1
R$ 1.700 /mês,R$ 440,"Rua São Francisco Xavier, Maracanã",60 m²,1,0,1
R$ 750 /mês,R$ 259,"Centro, Rio de Janeiro",21 m²,0,0,1
R$ 1.445 /mês,R$ 400,"Rua Carlos Xavier, Oswaldo Cruz",150 m²,3,1,1
R$ 4.300 /mês,R$ 650,"Avenida das Américas, Barra da Tijuca",83 m²,2,1,3
R$ 399 /mês,R$ 300,"Rua dos Inválidos, Centro",25 m²,0,0,0
R$ 6.000 /mês,R$ 2.280,"Rua Professor Antônio Maria Teixeira, Leblon",75 m²,2,1,2
R$ 750 /mês,R$ 820,"Rua A, Engenho Novo",50 m²,2,1,2
R$ 400 /mês,R$ 600,"Rua Uruguaiana, Centro",30 m²,0,0,1
R$ 1.500 /mês,R$ 1.017,"Avenida Presidente Wilson, Centro",63 m²,0,0,1
R$ 5.000 /mês,R$ 164,"Rua Pirassinunga, Taquara",330 m²,4,4,3
R$ 750 /mês,R$ 216,"Rua Leandro Martins, Centro",29 m²,0,0,1
R$ 900 /mês,R$ 972,"Avenida Rio Branco, Centro",33 m²,0,0,1
R$ 600 /mês,R$ 513,"Avenida Almirante Barroso, Centro",39 m²,0,0,1
R$ 1.600 /mês,R$ 890,"Rua Marquês de Valença, Tijuca",90 m²,3,1,2
R$ 1.500 /mês,R$ 1.490,"Avenida Rio Branco, Centro",92 m²,0,1,1
R$ 2.700 /mês,R$ 820,"Avenida Rio Branco, Centro",64 m²,0,0,2
R$ 700 /mês,R$ 308,"Rua Sete de Setembro, Centro",30 m²,0,0,0
R$ 820 /mês,R$ 450,"Avenida Pastor Martin Luther King Jr, Irajá",45 m²,2,0,1
R$ 935 /mês,R$ 160,"Rua Cotia, Benfica",50 m²,2,0,1
R$ 850 /mês,R$ 170,"Rua Richard Strauss, Jardim América",115 m²,2,0,1
R$ 2.200 /mês,R$ 873,"Rua México, Centro",63 m²,0,0,1
R$ 1.490 /mês,R$ 292,"Rua Magalhães Castro, Riachuelo",73 m²,0,0,1
R$ 2.800 /mês,R$ 1.440,"Rua Professor Álvaro Rodrigues, Botafogo",55 m²,1,1,1
R$ 800 /mês,R$ 591,"Centro, Rio de Janeiro",38 m²,0,0,0
R$ 500 /mês,R$ 466,"Avenida Presidente Vargas, Centro",25 m²,0,0,1
R$ 600 /mês,R$ 1.200,"Avenida Evandro Lins e Silva, Barra da Tijuca",30 m²,0,1,1
R$ 2.000 /mês,R$ 1.165,"Avenida Lúcio Costa, Barra da Tijuca",60 m²,1,1,1
R$ 1.600 /mês,R$ 895,"Rua Conde de Bonfim, Tijuca",77 m²,2,1,1
R$ 1.120 /mês,R$ 140,"Avenida São Félix, Irajá",55 m²,1,0,1
R$ 900 /mês,R$ 110,"Rua Inhare, Cascadura",60 m²,2,0,1
R$ 1.200 /mês,R$ 200,"Rua Senador Pompeu, Centro",50 m²,1,0,1
R$ 2.500 /mês,R$ 800,"Rua São Miguel, Tijuca",67 m²,3,2,1
R$ 850 /mês,R$ 700,"Rua Lins de Vasconcelos, Méier",51 m²,2,1,2
R$ 578 /mês,R$ 368,"Rua A, Campo Grande",50 m²,2,0,1
R$ 1.300 /mês,0,"Caminho do Veloso, Campo Grande",100 m²,3,1,1
R$ 1.700 /mês,R$ 575,"Rua Getúlio, Méier",100 m²,3,1,2
R$ 500 /mês,R$ 598,"Avenida Presidente Vargas, Centro",40 m²,0,0,1
R$ 950 /mês,R$ 366,"Rua Torres Homem, Vila Isabel",37 m²,1,0,1
R$ 2.640 /mês,R$ 450,"Rua Padre Manuel Viegas, Irajá",90 m²,3,1,2
R$ 800 /mês,R$ 465,"Avenida das Américas, Barra da Tijuca",32 m²,0,1,1
R$ 1.700 /mês,R$ 602,"Rua General Polidoro, Botafogo",42 m²,1,0,1
R$ 2.300 /mês,R$ 619,"Rua Siqueira Campos, Copacabana",44 m²,1,0,1
R$ 1.140 /mês,R$ 200,"Avenida Nova York, Bonsucesso",49 m²,2,0,1
R$ 1.000 /mês,R$ 791,"Praça Seca, Rio de Janeiro",66 m²,2,1,1
R$ 1.200 /mês,R$ 200,"Rua Cintra, Penha",71 m²,2,0,1
R$ 1.262 /mês,R$ 67,"Rua Sá Freire, São Cristóvão",60 m²,2,0,2
R$ 6.000 /mês,R$ 1.500,"Avenida Gilberto Amado, Jardim Oceanico",140 m²,3,2,2
R$ 700 /mês,R$ 350,"Rua dos Inválidos, Centro",20 m²,0,0,1
R$ 800 /mês,R$ 706,"Rua Conde de Bonfim, Tijuca",27 m²,0,1,1
R$ 3.840 /mês,R$ 900,"Estrada da Gávea, São Conrado",110 m²,2,1,1
R$ 500 /mês,R$ 550,"Rua Mayrink Veiga, Centro",35 m²,0,0,0
R$ 810 /mês,R$ 682,"Rua Arquias Cordeiro, Méier",49 m²,2,1,1
R$ 4.900 /mês,R$ 2.000,"Rua Rainha Guilhermina, Leblon",70 m²,2,1,2
R$ 500 /mês,R$ 422,"Rua Alcindo Guanabara, Centro",28 m²,0,0,1
R$ 2.500 /mês,R$ 1.096,"Rua do Catete, Catete",98 m²,3,0,3
R$ 1.100 /mês,R$ 480,"Praia Botafogo, Botafogo",48 m²,1,0,1
R$ 900 /mês,R$ 671,"Praça Olavo Bilac, Centro",38 m²,0,0,1
R$ 1.500 /mês,R$ 630,"Rua Fonseca Teles, São Cristóvão",65 m²,3,1,1
R$ 200 /mês,R$ 360,"Rua Beneditinos, Centro",24 m²,0,1,0
R$ 1.499 /mês,R$ 770,"Rua José do Patrocínio, Grajaú",56 m²,2,1,1
R$ 1.300 /mês,R$ 926,"Avenida das Américas, Barra da Tijuca",35 m²,0,1,1
R$ 959 /mês,R$ 450,"Rua Augusto Nunes, Méier",60 m²,2,0,1
R$ 1.200 /mês,0,"Penha Circular, Rio de Janeiro",24 m²,0,0,0
R$ 1.100 /mês,R$ 182,"Rua Américo Brasiliense, Madureira",58 m²,2,0,1
R$ 1.130 /mês,R$ 120,"Rua Joel Nunes, Olaria",52 m²,2,0,1
R$ 1.500 /mês,R$ 300,"Rua José Bonifácio, Méier",80 m²,2,0,1
R$ 700 /mês,R$ 781,"Rua Conde de Bonfim, Tijuca",33 m²,0,0,1
R$ 800 /mês,R$ 730,"Avenida Marechal Rondon, Engenho Novo",84 m²,2,1,2
R$ 2.200 /mês,0,"Rua Torres de Oliveira, Piedade",211 m²,4,0,4
R$ 1.000 /mês,R$ 431,"Rua Evaristo da Veiga, Centro",38 m²,1,0,1
R$ 1.350 /mês,R$ 500,"Rua Roberval Cordeiro de Farias, Recreio Dos Bandeirantes",33 m²,0,0,0
R$ 1.140 /mês,R$ 670,"Travessa A, São Cristóvão",70 m²,2,1,1
R$ 990 /mês,R$ 300,"Rua Saravata, Marechal Hermes",70 m²,2,0,1
R$ 1.020 /mês,R$ 1.000,"Rua Jerônimo de Lemos, Vila Isabel",90 m²,2,1,2
R$ 1.700 /mês,R$ 983,"Rua Carlos de Vasconcelos, Tijuca",77 m²,2,1,1
R$ 1.000 /mês,R$ 450,"Rua Figueiredo Magalhães, Copacabana",31 m²,0,0,1
R$ 1.200 /mês,R$ 935,"Rua Araguaia, Freguesia",65 m²,2,1,2
R$ 1.300 /mês,R$ 890,"Boulevard Vinte e Oito de Setembro, Vila Isabel",75 m²,1,1,1
R$ 1.000 /mês,R$ 670,"Avenida Embaixador Abelardo Bueno, Barra da Tijuca",32 m²,0,0,1
R$ 1.200 /mês,R$ 688,"Rua E, Engenho De Dentro",80 m²,3,1,2
R$ 760 /mês,R$ 334,"Rua Filomena Nunes, Olaria",48 m²,2,0,1
R$ 1.500 /mês,R$ 515,"Rua Barão de Mesquita, Tijuca",80 m²,2,0,1
R$ 1.100 /mês,R$ 418,"Rua Ministro Gabriel de Piza, Pechincha",48 m²,1,1,1
R$ 800 /mês,R$ 500,"Avenida das Américas, Recreio Dos Bandeirantes",31 m²,0,0,1
R$ 1.200 /mês,R$ 650,"Rua São Francisco Xavier, Vila Isabel",77 m²,3,1,1
R$ 800 /mês,R$ 54,"Rua Pereira de Almeida, Praça da Bandeira",47 m²,1,0,1
R$ 9.500 /mês,R$ 2.000,"Bonsucesso, Rio de Janeiro",2009 m²,0,1,0
R$ 6.900 /mês,R$ 2.040,"Rua Redentor, Ipanema",188 m²,2,1,2
R$ 1.400 /mês,R$ 350,"Rua Senador Rui Carneiro, Recreio Dos Bandeirantes",35 m²,0,1,0
R$ 2.860 /mês,R$ 329,"Rua do Humaitá, Humaitá",50 m²,1,0,1
R$ 1.400 /mês,R$ 491,"Rua Riachuelo, Centro",55 m²,1,0,1
R$ 1.200 /mês,R$ 250,"Rua Conde de Agrolongo, Penha",90 m²,3,0,1
R$ 1.350 /mês,R$ 491,"Rua Ubaldino do Amaral, Centro",28 m²,1,0,1
R$ 500 /mês,R$ 265,"Tanque, Rio de Janeiro",18 m²,0,1,1
R$ 400 /mês,R$ 710,"Avenida Treze de Maio, Centro",30 m²,1,0,1
R$ 1.700 /mês,R$ 450,"Rua São Francisco Xavier, Tijuca",58 m²,2,0,1
R$ 1.445 /mês,R$ 795,"Rua Professor Quintino do Vale, Estacio",70 m²,2,1,1
R$ 1.800 /mês,R$ 365,"Rua Pereira da Silva, Laranjeiras",48 m²,2,0,1
R$ 1.300 /mês,R$ 801,"Rua Barão de Ipanema, Copacabana",36 m²,1,0,1
R$ 1.500 /mês,R$ 599,"Rua Sebastião de Lacerda, Laranjeiras",44 m²,1,0,1
R$ 1.300 /mês,R$ 310,"Rua Dezoito de Outubro, Tijuca",42 m²,1,0,1
R$ 1.300 /mês,R$ 320,"Estrada dos Teixeiras, Taquara",45 m²,2,0,1
R$ 1.600 /mês,R$ 600,"Rua Barão de Mesquita, Tijuca",68 m²,2,0,1
R$ 1.275 /mês,R$ 100,"Rua Fernando Simoni, Pilares",68 m²,2,0,1
R$ 500 /mês,R$ 294,"Rua Álvaro Miranda, Pilares",50 m²,1,1,1
R$ 1.200 /mês,R$ 120,"Realengo, Rio de Janeiro",20 m²,0,0,1
R$ 750 /mês,R$ 713,"Rua Caiapó, Engenho Novo",77 m²,3,0,1
R$ 1.800 /mês,R$ 322,"Rua Torres Homem, Vila Isabel",55 m²,2,0,2
R$ 2.800 /mês,0,"Travessa A, Benfica",120 m²,5,3,3
R$ 1.700 /mês,R$ 1.200,"Rua Barata Ribeiro, Copacabana",87 m²,3,0,2
R$ 1.135 /mês,R$ 182,"Rua Américo Brasiliense, Madureira",58 m²,2,0,1
R$ 3.500 /mês,R$ 1.567,"Rua Gago Coutinho, Laranjeiras",68 m²,2,1,3
R$ 660 /mês,R$ 300,"Rua A, Campo Grande",42 m²,2,1,1
R$ 1.370 /mês,R$ 120,"Rua Fernando Esquerdo, Cachambi",92 m²,2,0,1
R$ 600 /mês,R$ 1.076,"Rua Visconde de Inhaúma, Centro",60 m²,0,0,1
R$ 600 /mês,R$ 592,"Rua Alcindo Guanabara, Centro",38 m²,0,0,1
R$ 950 /mês,R$ 860,"Rua Visconde de Asseca, Taquara",60 m²,1,1,2
R$ 1.580 /mês,R$ 800,"Rua São Francisco Xavier, Maracanã",100 m²,3,2,2
R$ 2.200 /mês,R$ 1.000,"Rua Francisco Dantas, Freguesia",70 m²,3,1,2
R$ 800 /mês,0,"Rua Doutor Juvenal Murtinho, Santíssimo",50 m²,2,1,1
R$ 800 /mês,R$ 1.100,"Rua General Canabarro, Maracanã",52 m²,1,1,2
R$ 300 /mês,R$ 800,"Avenida Rio Branco, Centro",45 m²,0,0,1
R$ 1.500 /mês,R$ 410,"Rua Washington Luís, Centro",50 m²,1,0,1
R$ 1.300 /mês,R$ 950,"Avenida Professor Manuel de Abreu, Maracanã",61 m²,2,1,1
R$ 1.000 /mês,R$ 692,"Avenida José Silva de Azevedo Neto, Barra da Tijuca",27 m²,0,0,1
R$ 1.430 /mês,R$ 180,"Rua Frei Romeu Donato, Piedade",80 m²,2,0,2
R$ 1.800 /mês,R$ 475,"Rua Uruguai, Tijuca",60 m²,2,0,1
R$ 1.590 /mês,R$ 120,"Praça Seca, Rio de Janeiro",720 m²,5,0,5
R$ 500 /mês,R$ 405,"Avenida Geremário Dantas, Freguesia- Jacarepaguá",19 m²,0,1,1
R$ 7.500 /mês,R$ 1.500,"Estrada do Pontal, Recreio Dos Bandeirantes",177 m²,3,5,5
R$ 500 /mês,R$ 1.100,"Avenida Rio Branco, Centro",33 m²,0,0,1
R$ 1.400 /mês,R$ 464,"Rua Barão de Cotegipe, Vila Isabel",80 m²,3,0,2
R$ 1.150 /mês,R$ 150,"Rua Pacheco Júnior, Brás de Pina",45 m²,2,0,1
R$ 3.148 /mês,R$ 922,"Rua Omar Bandeira Ramidan Sobrinho, Recreio Dos Bandeirantes",88 m²,3,1,3
R$ 1.700 /mês,R$ 350,"Rua Paulino Fernandes, Botafogo",35 m²,1,0,1
R$ 1.395 /mês,R$ 660,"Barra da Tijuca, Rio de Janeiro",31 m²,0,1,1
R$ 2.000 /mês,R$ 250,"Rua Campinas, Grajaú",90 m²,2,0,1
R$ 300 /mês,R$ 566,"Rua Buenos Aires, Centro",29 m²,0,0,1
R$ 650 /mês,R$ 630,"Rua Visconde de Inhaúma, Centro",32 m²,0,0,1
R$ 2.500 /mês,R$ 765,"Rua São Vicente, Tijuca",67 m²,2,1,1
R$ 2.500 /mês,R$ 621,"Avenida Dom Hélder Câmara, Quintino Bocaiúva",57 m²,0,0,1
R$ 1.600 /mês,R$ 364,"Rua Dias da Cruz, Méier",44 m²,0,0,0
R$ 700 /mês,R$ 558,"Boulevard Vinte e Oito de Setembro, Vila Isabel",23 m²,0,1,1
R$ 1.150 /mês,R$ 150,"Rua Pacheco Júnior, Brás de Pina",50 m²,2,0,1
R$ 1.800 /mês,R$ 850,"Rua A, Freguesia",76 m²,2,1,2
R$ 500 /mês,R$ 855,"Avenida Rio Branco, Centro",36 m²,0,0,1
R$ 981 /mês,R$ 600,"Rua Thompson Flores, Méier",70 m²,2,1,1
R$ 591 /mês,R$ 390,"Rua Guarani, Quintino Bocaiúva",50 m²,1,1,1
R$ 956 /mês,R$ 315,"Praça da Confederação Suíça, Del Castilho",50 m²,2,0,1
R$ 1.180 /mês,R$ 200,"Rua Lima Barreto, Quintino Bocaiúva",60 m²,2,0,1
R$ 3.300 /mês,R$ 995,"Rua A, Freguesia",93 m²,3,2,3
R$ 2.100 /mês,0,"Rua Célio Fernandes dos Santos Silva, Vargem Pequena",100 m²,2,4,3
R$ 1.550 /mês,R$ 600,"Avenida Gomes Freire, Lapa",38 m²,1,0,1
R$ 5.820 /mês,R$ 1.200,"Avenida Prefeito Dulcídio Cardoso, Barra da Tijuca",82 m²,2,1,3
R$ 1.100 /mês,R$ 320,"Avenida Lúcio Costa, Recreio Dos Bandeirantes",28 m²,0,1,1
R$ 1.000 /mês,R$ 614,"Avenida Rio Branco, Centro",33 m²,0,0,1
R$ 900 /mês,R$ 535,"Rua México, Centro",48 m²,0,0,1
R$ 2.000 /mês,R$ 600,"Rua Almirante Calheiros da Graça, Méier",110 m²,3,2,3
R$ 3.350 /mês,R$ 1.284,"Rua Pompeu Loureiro, Copacabana",73 m²,3,1,2
